age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
18 years old or older,Male,Senior - 12th,White, ,Mostly D's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Other,White, ,Mostly E's or F's,1 day,5 or more,No,Once or twice per year,No,No,None,6 to 9 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander, ,Mostly A's, , , ,I have never gambled,No,No,None,0 days
14 years old,Male,Freshman - 9th,Black, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Male,Sophomore - 10th,Black, ,Mostly C's,0 days,5 or more, ,I have never gambled,No,Yes,None,1 or 2 days
16 years old,Female,Freshman - 9th,Asian or other Pacific Islander, , , ,3 or 4,I have never had sexual intercourse,I have never gambled, ,No,None,0 days
18 years old or older,Female,Senior - 12th, , ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled, , ,None,0 days
18 years old or older,Female,Senior - 12th,Black, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Sophomore - 10th,Black, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,Yes, ,0 days
17 years old,Female,Junior - 11th,White, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,21-25 hours,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,11-15 hours,0 days
16 years old,Male,Sophomore - 10th,Other, ,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,6-10 hours, 
16 years old,Male,Junior - 11th,Black, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse, , , , ,1 or 2 days
18 years old or older,Female,Junior - 11th,Hispanic or Latino, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,6 to 9 days
17 years old,Female,Junior - 11th, , ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,3 to 5 days
17 years old,Female,Senior - 12th,White, ,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,16-20 hours,0 days
15 years old,Male,Sophomore - 10th,Black, , ,0 days,5 or more,No,I have never gambled,No,Yes,None,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino, ,I don't know,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,No,6-10 hours,3 to 5 days
15 years old,Male,Freshman - 9th,Black, ,Mostly C's,0 days,3 or 4,No,At least once per month,No,No,None,0 days
16 years old,Male,Senior - 12th,Black, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,At least once per month,No,No,6-10 hours,20 to 29 days
16 years old,Male,Sophomore - 10th,Black, ,Mostly D's,2 or 3 days,3 or 4,I have never had sexual intercourse,At least once per month,No,Yes,5 hours or less,0 days
18 years old or older,Male,Senior - 12th,White, ,Mostly D's,0 days,5 or more,Yes,Once or twice per year,Yes,Yes,None,1 or 2 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino, , ,0 days,None,Yes,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,White, ,Mostly D's,0 days,None,No,I have never gambled,No,Yes,None,10 to 19 days
14 years old,Male,Freshman - 9th,Other, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled, , ,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly D's,0 days,5 or more,No,Once or twice per year,No,No,16-20 hours,1 or 2 days
17 years old,Male,Senior - 12th,Hispanic or Latino, ,Mostly A's,0 days,3 or 4,No,I have never gambled,Yes,No,16-20 hours,0 days
15 years old,Male,Freshman - 9th,Other, ,Mostly D's,0 days,None,No,Once or twice per year,No,No,None,1 or 2 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,Other, , ,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No, ,1 or 2 days
18 years old or older,Female,Senior - 12th,Other, ,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,26-30 hours,6 to 9 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,White, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,More than 30 hours,0 days
17 years old,Male,Senior - 12th,Black, ,Mostly D's,0 days,5 or more,Yes,I have never gambled,No,No,None,3 to 5 days
18 years old or older,Male,Senior - 12th,White, ,Mostly C's,0 days,5 or more,No,Weekly,No,No,None,0 days
17 years old,Male,Junior - 11th,White, ,Mostly C's,1 day,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,6 to 9 days
16 years old,Male,Junior - 11th,White, ,Mostly C's,0 days,5 or more,No,At least once per month,No,No,More than 30 hours,3 to 5 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino, ,Mostly D's,0 days,3 or 4,No,Once or twice per year,No,Yes,None,1 or 2 days
17 years old,Male,Junior - 11th,White, ,Mostly B's,0 days,3 or 4,No,Once or twice per year,No,Yes,6-10 hours,6 to 9 days
17 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly C's,0 days,5 or more,No,Once or twice per year,Yes,No,26-30 hours,1 or 2 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino, ,Mostly D's,0 days,5 or more, , , , , ,1 or 2 days
16 years old,Male,Junior - 11th,Other, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,White, ,I don't know,0 days, ,No,Once or twice per year, , , ,3 to 5 days
14 years old,Female,Freshman - 9th, , ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,Black, ,Mostly E's or F's,0 days,1 or 2,No,Once or twice per year,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,Other, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,16-20 hours,1 or 2 days
16 years old,Female,Junior - 11th,Black, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled, , ,11-15 hours,0 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander, ,Mostly D's,0 days,5 or more,No,At least once per month,Yes,No,None,1 or 2 days
18 years old or older,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,White, ,Mostly B's,0 days,1 or 2,No,I have never gambled,No,Yes,21-25 hours,1 or 2 days
16 years old,Female,Junior - 11th,Other, , ,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
18 years old or older,Female,Junior - 11th,Asian or other Pacific Islander, ,Mostly A's,0 days, ,No,I have never gambled,Yes,No,16-20 hours,0 days
16 years old,Female,Junior - 11th,Black, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Junior - 11th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,6-10 hours,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,Other, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse, , , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days,5 or more,No,Once or twice per year,No,Yes,None,6 to 9 days
15 years old,Female,Sophomore - 10th,White, ,Mostly D's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,3 to 5 days
15 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
15 years old,Female,Sophomore - 10th,Black, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,None,0 days
18 years old or older,Male,Senior - 12th,White, ,Mostly B's,0 days,3 or 4,I don't know,Once or twice per year,No,Yes,More than 30 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,White, ,Mostly B's,0 days,3 or 4,No,At least once per month,No,No,26-30 hours,1 or 2 days
18 years old or older,Female,Junior - 11th,Black, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,5 hours or less,0 days
16 years old,Female,Junior - 11th,Black, ,Mostly B's,1 day,1 or 2,No,I have never gambled,Yes, ,None,0 days
17 years old,Female,Senior - 12th,Black, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,21-25 hours,1 or 2 days
17 years old,Female,Senior - 12th,Black, ,Mostly E's or F's,0 days,3 or 4,Yes,I have never gambled,Yes,No,None,1 or 2 days
16 years old,Female,Junior - 11th,White, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,1 or 2 days
17 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly C's,0 days,1 or 2,No,Once or twice per year,No,Yes,21-25 hours,1 or 2 days
17 years old,Female,Senior - 12th,Hispanic or Latino, ,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,11-15 hours,6 to 9 days
15 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly E's or F's,2 or 3 days,None,No,I have never gambled,No,No,16-20 hours,0 days
16 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,6-10 hours,3 to 5 days
15 years old,Male,Freshman - 9th,Asian or other Pacific Islander, ,Mostly C's,0 days,3 or 4,No,Once or twice per year,No,No,None,0 days
15 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,No,No,16-20 hours,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,No,None,0 days
15 years old,Female,Freshman - 9th,White, ,Mostly A's,0 days,None,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,Black, ,Mostly B's,0 days,5 or more,No,I have never gambled,No,Yes,None,6 to 9 days
15 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days,5 or more,No,At least once per month, ,Yes,21-25 hours,3 to 5 days
15 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
 ,Male,Freshman - 9th, , ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Senior - 12th,Asian or other Pacific Islander, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,None,No,I have never gambled,Yes,No,16-20 hours,0 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,More than 30 hours,0 days
16 years old,Male,Junior - 11th,White, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,1 or 2 days
16 years old,Female,Junior - 11th,White, ,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Black, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,1 or 2 days
17 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Black, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Weekly,No,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Other, ,Mostly B's,1 day,3 or 4,No,Once or twice per year,No,No,More than 30 hours,10 to 19 days
17 years old,Female,Senior - 12th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Other, ,I don't know,0 days,1 or 2,No,At least once per month,No,No,None,3 to 5 days
18 years old or older,Male,Senior - 12th,Black, ,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,11-15 hours,0 days
18 years old or older,Female,Junior - 11th,Other, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Male,Senior - 12th,White, ,Mostly C's,0 days,None,No,I have never gambled,No,Yes,6-10 hours,10 to 19 days
16 years old,Female,Junior - 11th,Black, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,11-15 hours,1 or 2 days
16 years old,Female,Junior - 11th,White, ,Mostly A's,2 or 3 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,3 to 5 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly A's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Junior - 11th,Asian or other Pacific Islander, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th,White, ,Mostly A's,0 days,1 or 2,No,I have never gambled,Yes,No,5 hours or less,0 days
17 years old,Female,Senior - 12th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,No,No,11-15 hours,6 to 9 days
16 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,1 or 2 days
16 years old,Female,Junior - 11th,White, ,Mostly A's,0 days,3 or 4,No,Once or twice per year,Yes,No,None,3 to 5 days
17 years old,Female,Junior - 11th,Asian or other Pacific Islander, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,3 or 4,No,Once or twice per year,No,Yes,16-20 hours,3 to 5 days
16 years old,Male,Junior - 11th,White, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,Yes,None,6 to 9 days
16 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
17 years old,Female,Junior - 11th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
18 years old or older,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,21-25 hours,0 days
17 years old,Male,Junior - 11th,Other, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,11-15 hours,0 days
16 years old,Male,Junior - 11th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,At least once per month,No,Yes,6-10 hours,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly C's,1 day,5 or more,No,Once or twice per year,No,No,6-10 hours,3 to 5 days
16 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,None,1 or 2 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,No,I have never gambled,No,No,None,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,6-10 hours,0 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly A's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes, ,None,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,1 or 2 days
15 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Male,Senior - 12th,Black, ,Mostly C's,0 days,5 or more,No,I have never gambled,No,No,11-15 hours,1 or 2 days
17 years old,Male,Senior - 12th,Black, ,Mostly C's,0 days,5 or more,No,I have never gambled,No,No,None,1 or 2 days
17 years old,Male,Senior - 12th,White, ,Mostly C's,0 days,5 or more,No,I have never gambled,No,No,11-15 hours,3 to 5 days
16 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,21-25 hours,1 or 2 days
17 years old,Male,Senior - 12th,Other, ,Mostly D's,0 days,5 or more,No, , , ,26-30 hours,3 to 5 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days,5 or more,No,I have never gambled,No,Yes,None,3 to 5 days
15 years old,Female,Sophomore - 10th,Other, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Female,Sophomore - 10th,Other, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,3 to 5 days
16 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,1 or 2 days
16 years old,Male,Sophomore - 10th,Other, ,Mostly C's,0 days,3 or 4,No,Once or twice per year,Yes,No,None,6 to 9 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,No,Once or twice per year,No,Yes,5 hours or less,3 to 5 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days,3 or 4,No,Once or twice per year,Yes,No,21-25 hours,1 or 2 days
15 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
14 years old,Male,Freshman - 9th,Other, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly D's,0 days,5 or more,No,I have never gambled,Yes,Yes,26-30 hours,0 days
18 years old or older,Male,Junior - 11th,White, ,Mostly E's or F's,0 days,5 or more,No,At least once per month,No,No,21-25 hours,0 days
18 years old or older,Male,Other,White, ,Mostly A's,0 days,1 or 2,Yes,I have never gambled, ,Yes,More than 30 hours,1 or 2 days
17 years old,Male,Senior - 12th,White, ,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,6-10 hours,0 days
16 years old,Female,Junior - 11th,Other, ,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,No,21-25 hours,0 days
17 years old,Male,Junior - 11th,White, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander, ,Mostly B's,0 days,None,No,I have never gambled,No,No,More than 30 hours,10 to 19 days
17 years old,Female,Senior - 12th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,No,No,16-20 hours,0 days
17 years old,Female,Senior - 12th,Black, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes, ,16-20 hours,1 or 2 days
16 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,6-10 hours,10 to 19 days
17 years old,Female,Junior - 11th,White, ,Mostly A's,0 days,3 or 4,No,Once or twice per year,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,White, ,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,No,21-25 hours,0 days
16 years old,Female,Junior - 11th,White, ,I don't know,0 days,3 or 4,No,I have never gambled,No,No,None,3 to 5 days
18 years old or older,Male,Senior - 12th,Black, ,Mostly D's,0 days,5 or more,No,At least once per month,No,No,16-20 hours,3 to 5 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander, ,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,More than 30 hours,0 days
18 years old or older,Female,Senior - 12th,Asian or other Pacific Islander, ,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Other, ,Mostly A's,0 days,1 or 2,No,I have never gambled,Yes,No,21-25 hours,1 or 2 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,11-15 hours,0 days
18 years old or older,Female,Senior - 12th,Asian or other Pacific Islander, ,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
16 years old,Male,Junior - 11th,White, ,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,Yes,No,None,1 or 2 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days,5 or more,Yes,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Other, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,5 hours or less,0 days
17 years old,Male,Junior - 11th,Other, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
15 years old,Male,Freshman - 9th,American Indian or Alaska Native, ,Mostly B's,0 days,5 or more,No,At least once per month,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Black, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Male,Sophomore - 10th, , ,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Female,Junior - 11th,White, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
17 years old,Female,Senior - 12th,White, ,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,Yes,No,21-25 hours,3 to 5 days
16 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,Other, ,I don't know,0 days,1 or 2,No,I have never gambled,No,No,11-15 hours,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly D's,0 days, ,No,I have never gambled,No,No,5 hours or less,3 to 5 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Junior - 11th,Black, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Other, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,More than 30 hours,0 days
18 years old or older,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,More than 30 hours,0 days
17 years old,Male,Junior - 11th,Black, ,Mostly B's,0 days,3 or 4,No,I have never gambled,No,No,None,6 to 9 days
17 years old,Female,Senior - 12th,Black, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
17 years old,Male,Senior - 12th,Black, ,Mostly C's,0 days,5 or more,Yes,Weekly, , ,26-30 hours,10 to 19 days
18 years old or older,Male,Senior - 12th,White, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,More than 30 hours,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days,5 or more,No,Once or twice per year,No,Yes,None,0 days
17 years old,Male,Senior - 12th,Black, ,Mostly C's,0 days,1 or 2,No,Once or twice per year, ,Yes,None,6 to 9 days
14 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse, ,Yes,No,None,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly B's,1 day,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days, ,No,9, , , ,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly D's,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
17 years old,Female,Senior - 12th,Black, ,Mostly B's,0 days,None,Yes,I have never gambled,No,No,None,0 days
